number,name,red,green,blue,hex,similar
612,Drab Brown - Light,188.0,154.0,120.0,bc9a78,"['841', '422', '371', '3045', '3859', '3064', '370', '3032', '833', '642']"
613,Drab Brown - Very Light,220.0,196.0,170.0,dcc4aa,"['3782', '842', '3046', '224', '738', '676', '778', '3771', '524', '3864']"
632,Desert Sand - Ultra Very Dark,135.0,85.0,57.0,875539,"['869', '3858', '434', '610', '355', '221', '829', '315', '3781', '3860']"
640,Beige Gray - Very Dark,133.0,123.0,97.0,857b61,"['3011', '646', '611', '840', '451', '3790', '3363', '3862', '830', '3052']"
642,Beige Gray - Dark,164.0,152.0,120.0,a49878,"['522', '3053', '3861', '841', '3022', '612', '3032', '3859', '989', '3045']"
644,Beige Gray - Medium,221.0,216.0,203.0,ddd8cb,"['3033', '453', '3047', '168', '415', '822', '3743', '950', '153', '369']"
645,Beaver Gray - Very Dark,110.0,101.0,92.0,6e655c,"['535', '520', '317', '3860', '3740', '3787', '3790', '610', '3051', '367']"
646,Beaver Gray - Dark,135.0,125.0,115.0,877d73,"['451', '640', '169', '3022', '3041', '3052', '414', '840', '3011', '317']"
647,Beaver Gray - Medium,176.0,166.0,156.0,b0a69c,"['3023', '523', '3042', '318', '3032', '648', '3836', '452', '368', '926']"
648,Beaver Gray - Light,188.0,180.0,172.0,bcb4ac,"['452', '318', '3864', '3042', '3782', '647', '842', '3023', '524', '523']"
666,Red - Bright,227.0,29.0,66.0,e31d42,"['349', '309', '321', '350', '600', '347', '601', '304', '3831', '3804']"
676,Old Gold - Light,229.0,206.0,151.0,e5ce97,"['738', '437', '3855', '3822', '3046', '613', '472', '3825', '842', '3782']"
677,Old Gold - Very Light,245.0,236.0,203.0,f5eccb,"['739', '543', '951', '3078', 'Ecru', '3774', '948', '822', '225', '772']"
680,Old Gold - Dark,188.0,141.0,14.0,bc8d0e,"['3829', '783', '782', '781', '921', '3852', '922', '3776', '3826', '976']"
699,Green,5.0,101.0,23.0,056517,"['700', '3345', '890', '319', '895', '500', '3818', '909', '561', '934']"
700,Green - Bright,7.0,115.0,27.0,07731b,"['699', '3345', '319', '3818', '500', '890', '895', '909', '561', '910']"
701,Green - Light,63.0,143.0,41.0,3f8f29,"['702', '904', '905', '3346', '987', '937', '561', '501', '3815', '469']"
702,Kelly Green,71.0,167.0,47.0,47a72f,"['701', '905', '904', '469', '906', '703', '987', '937', '163', '562']"
703,Chartreuse,123.0,181.0,71.0,7bb547,"['906', '470', '3364', '3347', '580', '581', '988', '704', '3011', '3052']"
